review,rating
I think it is more Expensive than drugstore that only cost 27usd.so  you have a good chose if you want to but it,0
"When I saw this on Amazon, I put it into my wish list so I would be able to find it again.  I knew it would be the next baby gift I would purchase.  The opportunity recently came up and as soon as I read the shower invitstion, I placed my order.  This looks so comfortable.  I love that it has a second cover that allows it to grow with the child.  So many items designed for a baby are only used for such a short time, but this should be able to be used for much longer.  I have given this to the mother-to-be and she was thrilled to receive it.  The 7 year old had to try it out, already making plans on how she and the new baby can share it to watch TV!  There is a strsp on the bottom that makes moving it from room to room easy.  The cover zips off, to change to the other one, or to wash it.  It is a well thought out item.",1
"We really like these valances.  They have such cute characters on them.  We highly recommend them!  The only downfall is having to iron them after they come out of the dryer, but it's worth it!",1
No light emits from the night light. They painted it a solid color and didnt leave an opening in the back.  You will end up returning it.,0
"I was really hoping for this to be a conventient travel wipe dispenser, but it just didn't for for me. It doesn't close all the way. So it dries out the wipes =/",0
My two year old son loves this bookshelf!! We have filled it with about 25 books and still room for a few more. It looks great in our family room and we have received many compliments. Would highly recommend!,1
This light was wonderful for the first few days-before it started flashing like a strobe light.  We called Mobi and they immediately sent us another light free of charge but the new light only lasted for about 2 months and then would not turn on.  Also-green was the only color that wasn't too bright for our daughter's room at night.,0
I was mailed the wrong product when I ordered it and received a Deglingos blankie. Then I finally got the right product and it was as cute as in the picture. I shook it and it did jack squat.  I had no idea how to get it to rattle until my girl choked it and made it squeak.,0
"Great for Apartment or close quarters living! Mattress is a little thin and it isn't strong enough to hold its form with sheets (the elastic pulls the mattress so that it doesn't snuggly fit the sides of the crib. Very beautiful and somewhat easy to assemble, however, it either takes an amazingly flexable person or a second person as you assemble the short sides to the mattress support then attatch the long sides and its impossible to hold straight to screw one side on while the other side isnt attatched and ""flopping"" around. As far as durability, its pretty dang sturdy! My 6 and 4 year olds (being the big brothers that they are) have ""tested"" it to make sure it wont fall on the baby by jumping in it repeatedly and it hasn't even cracked with their combined weight (103 lbs total). The only down thing I have found with it is that the prescrewed holes for assembly dont stop and you have to check to make sure your not coming out the finished side.",1
I used these bibs on my older child and loved them. I am happy to use them on my twin boys.,1
Good price and good quality. I like that the cap keeps the nipple opening closed so I can mix formula in it (can't do that with medela nipples - need solid lids for that),1
"I love how cute this plate is, and the sections are nice, but the suction (even when you wet it) is only fair.  My daughter (17 mo old now) has been able to pull it off since getting it 3 months ago.  But I think no suction would be strong enough for a determined child who wants to pull her plate off of her tray.",1
"Bought this for my daughter, This had made being a mom to two young children a little bit easier.  I will buy this item again when my daughter in laws and my other daughter have babies",1
We bought this toys when our son's 15 months but he never really paid any attention to it until he was almost 20months when we bought him to the park with a huge sandpit. But now its mainly used in the tub as he loves to fill the cups up and see it drains. Never been using it as a stacking toy as he has so many other but I can see him making a stack with these. Cheap and good.,1
"My daughter's nursery is decorated with an owl theme.  After searching, I could not find a crib bedding set that I liked.  Instead, I opted for this toddler set and I'm so happy I did.  It is good quality, adorable, and it will last for years- not just a few months like a crib set.  We also have some of the matching accessories and get tons of compliments on the entire set.  Definitely happy with this purchase!",1
"These pacifiers are just fine and I have no big complaints. I bought them because they come with the sterilizing cover, but I've since learned that soap and water are perfectly fine for sterilizing as long as you don't use well water. So I never use the cover to sterilize anymore, just to cover it and keep it clean. So it would be more useful if there were a cover for each pacifier. Also, my baby has fat cheeks, and these pacifiers are pretty wide, so they press into his cheeks. He doesn't seem to mind it, but it does make them a little harder to keep in his mouth and he gets these awful looking red marks on his cheeks from them. So I prefer all of his other pacifiers to these ones. But these are pretty OK, too.",0
"We bought two of these, one for the nursery and one for the kitchen. It fits our Dr. Browns wide bottles perfectly. It isn't too loud. Seems to warm the bottles in a reasonable amount of time. I'm not sure what the people who are complaining about the time expect from a water-warmer. It isn't a microwave!",1
We travel a bunch and got this for the grand baby! It is perfect and easy to use! We love it and will use it for many years to come!,1
"I don't like because is poor quality. I never use, after first wash. I thought it was better quality, as Carters always has good products",0
Great bag with lot's of space for all my son's food. Keeps the food cool with an ice pack. Clip on the top means it easy to attach to a stroller or larger bag. Fun design gets compliments.,1
I purchased these at the same time I purchased my Boba so I put them on before I tried the carrier out on my baby for the first time. The second I put him in the carrier he started chewing on these teething pads. If I hadn't put them on he would have been chewing directly on the carrier. The carrier instructions say not to put it directly in the washing machine so I feel much better knowing that he was chewing on the pads (which I washed first in baby detergent). Plus I bought a few extra sets so if he is in the carrier for a long period of time and gets the pads really wet I can easily change them out. I would say these are a must have for your baby carrier while your baby is teething or for babies who just like to chew.,1
I received the product very quickly and it looked great! I'm very happy with the product and would recommend it!,1
"Being a new mom, I had been using blankets and worrying whether my baby was warm when we went out.  I observed other moms with this and went to Babies R Us and found it.  It is so easy to use and functional.  I live in a very cold area and this garment keeps my daughter very warm.  Sometimes when it is snowing I tuck a blanket around her as an extra precaution.  Regardless of whether I use the extra blanket her toes and fingers stay warm and she sleeps very soundly.  I highly recommend it.",1
Great price and great quality.  Picks up the sound and absolutely no white noise.  The two way radio thing is pretty cool too.,1
"We have had this stroller for 2 years. I power walk with it 5 miles a day, 5 days a week year round (except snow/ice) so it gets a lot of use. My children are now almost 4 (35 lbs) and almost 2 (25 lbs). We have been using it since my 23 month old was born with her chicco infant carrier. I am so happy with the durability of the stroller for the price that I paid. I would recommend it to anyone. It has been on several airplane trips (I always detach the front canopy and pack it in our large suitcase) and it has been used everywhere from Disney World to the North Carolina Beaches to the mountains of Utah. I have had not problems with any parts not meeting my standards and at 5 miles a day, I feel that I am putting it to the test. We use two JJ cole bundle bags and a double tandem stroller weather shield in the cold and rain. I purchased the weather shield from one step ahead. It does not fit perfectly, but does the trick unless it is really pouring. Hope the accessories are helpful for anyone looking. I highly recommend this stroller!",1
Great service what expected to be love this product Great serviceGreat service Great service Great service. Great service. Great service,1
My soon to be 4-year old wanted Spiderman wall decays because his twin sister had Princess Tiana decays on her wall.  His was so excited that him and his sister proceded to open the package and rush to his room to put up the decays.  They peeled them off and placed them on the walls themselves.  So now his room has his own personal touch.,1
"Tried many different seats to potty train my son.  This has been the best.  The splash guard is great and the seat is soft.  My son likes to play with the race button on the handle.  Also easy to clean.  As he got older, we removed the splash guard to ease him onto a regular seat.",1
"Easy to clean, move and use. Love that it cleans so easy.  Washed the cover and it came out looking like the first day I purchased it.We have two little grandchildren, 9 months and 2 years.  It works for both of them.  I love this high chair.",1
"This is a great product at a really,really great price! I plan on buying another one. Love it! It's made very well.",1
"I gifted this product to one of my friend's, she loves it",1
I love mine and I always buy these as gifts for friends baby showers. I've used mine for 3 years now and it's held its shape and softness/firmness very well so far. The removable cover washes fine. I love this nursing pillow!,1
"This medical kit is very cheap. I tried using the dropper, and it was terrible. I threw everything away after realizing they were not worth keeping.",0
"Best Carrier.....my little one (16 months) is now 25lbs and I can carry her on my back no worries whilst grocery shopping and more. The padding and support is great. Also a life saver to keep her where I can see her, out of harms way so I can get on with it. Plus she loves the ride! =)Don't bother with the cheaper brands save up for this and use it from birth to.......2 years and beyond-definitely worth it.",1
"One of the best vibrating seats i found! Works well when they are an infant and now that my ten month old can hold her own bottle, its perfect to sit her in during bottle time. Its good up to 40lbs so it will be her chair for quite some time. A must have!",1
"I really like this piddle pad, its very soft and fits into the seat like it is part of it.  My daughter has not ""used"" it yet but the way it sits in the seat apears that it would hold the ""liquid"" very well.",1
"These bowls are a good weight and depth in pretty colors.  Perfect for snacks or cereal.  They are dishwasher-safe, but not microwaveable.  Great bowls!",1
